"Deutsch";"English";"dansk";"Nederlands";"scientific"
"Rohstoffquelle, die (-; -n); Ressource, die (-; -n)";"resource";"råstofkilde (-n; -r); ressource (-n; -r)";"grondstofbron, de (pl.: grondstofbronnen); hulpbron, de (pl.: hulpbronnen)";
"Rollenkette, die (-; -n) (hier: am Garnelennetz)";"bobbin rope; bobbin gear";"rullekæde (-n; -r)";"rolketting, de";
"Rote Garnele f";"pink shrimp; montague shrimp";"rejekonge";"ringspriet garnaal";"Pandalus montagui"
"Rote Liste, die (-; -n)";"Red List";"Rødliste (-n; -r)";"Rode Lijst, de";
"Rote Schuppenmiere f";"sand spurrey";"mark-hindeknæ";"rode schijnspurrie";"Spergularia rubra"
"Roter Gänsefuß m";"red goosefoot";"rød gåsefod";"rode ganzevoet";"Chenopodium rubrum"
"Roter Knurrhahn m";"tub gurnard";"rød knurrhane";"rode poon";"Trigla lucerna"
"Roter Schnurwurm m";"red ribbon worm; lined ribbon worm";"Lineus ruber";"rode snoerworm";"Lineus ruber"
"Roter Zahntrost m";"red eyebright; red bartsia";"mark-rødtop";"rode ogentroost";"Odontites rubra"
"Rotschenkel m";"common redshank";"rødben";"tureluur";"Tringa totanus"
"Rotschwingel m";"creeping (red) fescue";"almindelig rød svingel";"gewone rood zwenkgras n";"Festuca rubra ssp."
"Rotzunge f";"lemon sole";"almindelig rødtunge";"tongschar";"Microstomus kitt"
"Ruchgras, Gewöhnliches n";"sweet vernal-grass";"vellugtende gulaks";"reukgras n";"Anthoxanthum odoratum"
"Ruderboot, das (-[e]s; -e)";"rowing boat";"robåd (-en; -e)";"roeiboot, de (pl.: roeiboten)";
"Rundblättrige Glockenblume f";"harebell";"liden klokke";"grasklokje n";"Campanula rotundifolia"
"Rundblättrige Minze f";"round-leaved mint";"rundbladet mynte";"witte munt";"Mentha rotundifolia"
"Rundblättriger Sonnentau m";"common sundew";"rundbladet soldug";"ronde zonnedauw";"Drosera rotundifolia"
"Rundblättriges Wintergrün n";"round-leaved wintergreen";"klit-vintergrøn";"rond wintergroen n";"Pyrola rotundifolia"
"Rüsselkäfer m";"Phyllobius vespertinus";"løvsnudebille";"Phyllobius vespertinus";"Phyllobius vespertinus"
"Säbelschnäbler m";"avocet";"klyde";"kluut";"Recurvirostra avosetta"
"Sägegarnele f";"common prawn";"roskildereje";"gezaagde steurgarnaal";"Palaemon serratus"
"Sägetang m";"serrated (toothed) wrack";"savtang";"gezaagde zeeeik";"Fucus serratus"
"Sägezähnchen n";"banded wedge shell";"kilemusling";"zaagje n";"Donax vittatus"
"Saison, die (-; -s)";"season";"sæson (-en; -er)";"seizoen, het";
"Salz-Bunge f";"brookweed";"samel";"waterpunge";"Samolus valerandi"
"Salz-Fenchel";"parsley water-dropwort";"eng-klaseskærm";"zilt torkruid n";"Oenanthe lachenalii"
"Salzgehalt, der (-[e]s; -e); Salzhaltigkeit, die (-; -en)";"salinity";"salinitet (-en; -er); saltholdinghed (-en; -er)";"zoutgehalte, het (pl.: zoutgehaltes of zoutgehalten)";
"Salzgewinnung, die (-; -en); Salzproduktion, die (-; -en)";"salt production";"saltproduktion (-en; -er); saltindvinding (-en; -er)";"zoutproductie, de";
"Salz-Hasenohr n";"slender hare’s-ear";"smalbladet hareøre";"fijn goudscherm n";"Bupleurum tenuissimum"
"Salz-Hornklee m";"narrow-leaved bird’s-foot-trefoil";"smalbladet kællingetand";"smalle rolklaver";"Lotus tenuis"
"Salzmiere f";"sea sandwort";"strandarve";"zeepostelein";"Honckenya peploides"
"Salzpflanze, die (-; -n) (= Halophyt)";"halophyte";"saltplante (-n; -r) (= halophytt)";"zoutminnende plant, de (= halofyt)";
"Salz-Rotschwingel m";"slender creeping red fescue";"rød svingel";"rood zwenkgras n";"Festuca rubra littoralis"
"Salz-Schuppenmiere f";"lesser seaspurrey";"kødet hindeknæ";"zilte schijnspurrie";"Spergularia marina (salina)"
"Salz-Segge f";"distant sedge";"fjernakset star";"zilte zegge";"Carex distans"
"Salz-Teichsimse f";"zebra rush; rough club-rush";"blågrøn kogleaks";"ruwe bies";"Schoenoplectus tabernae-montani"
"Salzwasser, das (-s; -)";"saltwater";"saltvand (-et; -e)";"zout water, het (pl.: zout waters of zout wateren)";
"Salzwiese, die (-; -n)";"salt marsh";"strandeng (-en; -e)";"kwelder, de (pl.: kwelders)";
"Salzwiesen Schnelläufer m";"Dicheirotrichus gustavii";"slikløberen";"Dicheirotrichus gustavii";"Dicheirotrichus gustavii"
"Salzwiesen-Flohkrebs m";"beachflea";"strandtangloppe";"strandvlo; springer";"Orchestia gammarellus"
"Salzwiesenschnecke, Marschenschnecke, „Kegelige Strandschnecke“ f";"dune sentinel";"marksnegl";"gray’s kustslak";"Assiminea grayana"
"Salz-Zahntrost m";"red bartsia";"strand-rødtop";"vroege ogentroost n";"Odontites litoralis"
"sammeln (v.) (hier: Strandgut sammeln)";"beachcomb (v.)";"samle (v.) (her: samle strandingsgods)";"Jutten (ww.)";
"Sand, der (-[e]s; -e)";"sand";"sand (-et; -e)";"zand, het";
"Sandaal m";"(smooth) sand eel";"tobiskonge";"zandspiering; kleine smelt";"Ammodytes tobianus"
"Sandbank, die (-; Sandbänke)";"sandbar";"sandbanke (-n; -r)";"zandbank, de";
"Sanddorn m";"sea buckthorn";"havtorn";"duindoorn";"Hippophae rhamnoides"
"Sanderling m";"sanderling";"sandløber";"drieteenstrandloper";"Calidris alba"
"Sandgrundel f";"sand goby";"sandkutling";"dikkopje n";"Pomatoschistus minutus"
"Sandklaffmuschel f";"sand gaper";"almindelig sandmusling";"strandgaper";"Mya arenaria"
"Sand-Lieschgras n";"sand cat´s tail";"sand-rottehale";"zanddoddegras n";"Phleum arenarium"
"Sand-Nachtkerze f";"focke; dune primrose";"klit-natlys";"zandteunisbloem";"Oenothera ammophila"
"Sandregenpfeifer m";"great ringed plover";"stor præstekrave";"bontbekplevier";"Charadrius hiaticula"
"Sand-Schillergras n";"Koeleria arenaria (junegrass)";"klit-kambunke";"smal fakkelgras n";"Koeleria arenaria"
"Sand-Segge f";"sand-sedge";"sand-star";"zandzegge";"Carex arenaria"
"Sand-Straußgras n";"brown bent";"sand-hvene";"zandstruisgras n";"Agrostis vinealis"
"Sand-Strohblume f";"everlasting flower";"gul evighedsblomst";"strobloem";"Helichrysum arenarium"
"Sand-Thymian m";"Breckland thyme";"smalbladet timian";"wilde tijm";"Thymus serpyllum"
"Sand-Vergißmeinicht n";"strict forget-me-not";"rank-forglemmigej";"stijf vergeet-mij-nietje n";"Myosotis stricta"
"Sandvorspülung, die (-; -en)";"beach nourishment";"kystfodring (-en; -er)";"instandhouding, de (hier: an stranden)";
"Sandwatt, das (-[e]s; -en)";"sandflat";"sandvade (-n; -r)";"zandwad, het (pl.: zandwadden)";
"Sardischer Hahnenfuß m";"hairy buttercup";"stivhåret ranunkel";"behaarde boterbloem";"Ranunculus sardous"
"Sauerstoff, der (-[e]s; -e)";"oxygen";"ilt (-en; -)";"zuurstof, de (pl.: zuurstoffen)";
"sauerstofffrei";"anoxic; oxygen-free";"iltfri";"Zuurstofloos";
"Sauerstoffzehrung, die (-; -en)";"oxygen consumption; oxygen depletion";"iltforbrug (-et; -)";"zuurstofconsumptie, de (pl.: zuurstofconsumpties)";
"säurehaltig";"acidic";"syreholdig";"Zuurhoudend";
"schädlich";"harmful";"skadelig";"Schadelijk";
"Schadstoff, der (-[e]s; -e)";"pollutant; harmful substance";"skadestof (-fet; -fer); skadeligt o. giftigt stof (-fet; -fer)";"schadelijke stof, de";
"Schaf, das (-[e]s; -e)";"sheep";"får (-et; -)";"schaap, het (pl.: schapen)";
"Schafgarbe f";"common yarrow";"almindelig røllike";"gewoon duizendblad n";"Achillea millefolium millefolium"
"Schafschwingel m";"sheep’s-fescue";"fåresvingel";"schapegras n";"Festuca ovina"
"Scharfer Mauerpfeffer m";"stonecrop";"bidende stenurt";"muurpeper";"Sedum acre"
"Scharfes Berufskraut n";"blue fleabane";"bitter bakkestjerne";"scherpe fijnstraal";"Erigeron acer"
"schätzen (v.)";"estimate (v.)";"taksere; anslå (v.)";"schatten (ww.)";
"Schätzung, die (-; -en)";"estimation";"overslag (-et; -) ; vurdering (-en; -er)";"schatting, de";
"Schaumfloß-Entenmuschel f";"buoy barnacle";"furet langhals";"geplooide eendenmossel";"Lepas fascicularis"
"Schellente f";"goldeneye";"hvinand";"brilduiker";"Bucephala clangula"
"Scheuchkette, die (-; -n) (hier: am Plattfischnetz)";"tickler chain";"netkæde (-n; -r); kæde på nedgarn";"wekkerketting, de";
"Schiff, das (-[e]s; -e)";"ship";"skib (-et; -e)";"schip, het (pl.: schepen)";
"Schifffahrt, die (-; -en)";"shipery";"skibsfart (-en; -er); søfart (-en; -er)";"scheepvaart, de";
"Schilfrohr n";"common reed";"tagrør";"riet n";"Phragmites australis"
"Schillernder Seeringelwurm m";"estuary ragworm";"almindelig frynseorm";"veelkleurige zeeduizendpoot";"Nereis diversicolor"
"Schlammrose f";"mud sargartia “Sagartiogeton undatus“";"bredfodet søanemone";"weduweroos";"Sagartiogeton undatus"
"Schlamm-Schmiele, Wibel-Schmiele, Elbe-Schmiele (Elb-Endemit) f";"deschampsia wibeliana";"deschampsia wibeliana";"deschampsia wibeliana";"Deschampsia wibeliana"
"Schlangenstern m";"serpent star; brittlestar “Ophiura texturata“";"slangestjerne “Ophiura texturata“";"gewone slangster";"Ophiura texturata"
"Schlangensterne m";"brittlestars";"slangestjerne";"slangsterren";"Ophiuridae"
"Schlanker Augentrost m";"eyebright";"lyng-øjentrøst";"slanke ogentroost";"Euphrasia micrantha"
"Schleppnetz, das (-es; -e); Dregge, die (-; -en)";"trawl(ing) net";"trawl (-et o. -en; -)";"sleepnet, het";
"Schleuse, die (-; -n)";"sluice";"sluse (-n; -r)";"sluis, de (pl.: sluizen)";
"Schleusentor, das (-[e]s; -e)";"floodgate";"sluseport (-en; -e)";"sluisdeur, de";
"Schlick, der (-[e]s; -e)";"mud";"slik (-ken; no pl.)";"slik, het; slib, het";
"Schlickanemone f";"mud sagartia “Sagartia troglodytes“";"hule søanemone";"slibanemoon";"Sagartia troglodytes"
"Schlickgras n";"rigid (small) cordgrass";"vadegræs";"klein slijkgras n";"Spartina maritima"
"Schlickkrebs m";"sandhopper “Corophium volutator“";"slikkrebs";"langspriet";"Corophium volutator"
"Schlickwatt, das (-[e]s; -en)";"intertidal estuarine mudflat";"slikvade (-n; -r)";"slikwad, het (pl.: slikwadden)";
"Schluff, der (-[e]s; -e); Silt, der (-[e]s; -e)";"silt";"silt (-en; -)";"silt, het";
"schlüpfen (v.)";"hatch (v.)";"udklække (v.)";"uitkomen (ww.)";
"Schlussfolgerung, die (-; -en)";"conclusion";"konklusion (-en; -er); logisk slutning (-en; -er)";"conclusie, de";
"Schmalblättrige Wicke f";"common vetch";"almindelig vikke";"smalle wikke";"Vicia angustifolia"
"Schmalblättriger Rohrkolben m";"lesser bulrush; small reedmace; narrowleaved cattail";"smalbladet dunhammer";"kleine lisdodde";"Typha angustifolia"
"Schmalblättriges Weidenröschen n";"rosebay willowherb";"gederams";"knikkend wilgenroosje n";"Epilobium angustifolium"
"Schmalblättriges Wollgras n";"common cottongrass";"smalbladet kæruld";"veenpluis n";"Eriophorum angustifolium"
"Schmarotzerraubmöve f";"arctic skua; parasitic jaeger";"almindelig kjove";"kleine jager";"Stercorarius parasiticus"
"Schmelzwasser, das (-s; -)";"melt water";"smeltevand (-et; -e)";"smeltwater, het (pl.: smeltwaters of smeltwateren)";
"Schnabel, der (-s; Schnäbel)";"beak";"næb (-(b)et; -)";"snavel, de (pl.: snavels); bek, de (pl.: bekken)";
"Schnatterente f";"gadwall";"knarand";"krakeend";"Anas strepera"
"Schnecken f";"snails";"snegle";"slakken, buikpotigen";"Gastropodax"
"Schneeammer f";"snow bunting";"snespurv";"sneeuwgors";"Plectrophenax nivalis"
"Schnurtang m";"red seaweed “Dumontia contorta“";"dumontalge";"rood darmwier n";"Dumontia contorta"
"Scholle f";"plaice";"rødspætte";"schol";"Pleuronectes platessa"
"Schuppenwurm, der (-[e]s; -würmer)";"scaleworm";"skælryg";"zeerups";"Aphroditidae"
"Schutz, der (-es; no pl.) (nur bei Technik, pl.: -e)";"protection";"beskyttelse (-n; -r)";"bescherming, de";
"Schwämme m";"Sponges";"Dyriske svampe";"Sponzen";"Poriferax"
"Schwarm, der (-[e]s; Schwärme) (hier: Fischschwarm)";"school; shoal (here: of fish)";"stime (-n; -r) (her: af fisk)";"school, de (pl.: scholen)";
"Schwarm, der (-[e]s; Schwärme) (hier: Vogelschwarm)";"flock, covey (here: of birds)";"flok (-ken; -ke) (her: af fugle)";"vlucht, de";
"Schwarmfisch, der (-[e]s; -e)";"schooling fish";"stimfisk (-en; -)";"schoolvis, de (pl.: schoolvissen)";
"Schwarze Krustenflechte m";"black shields";"sort kantskivelav";"korstmos „Tephromela atra“ n";"Tephromela atra"
"Schwarzes Kopfried n";"black bogrush";"sort skæne";"knopbies";"Schoenus nigricans"
"Schwarzkopfmöwe f";"Mediterranean gull";"sorthovedet måge";"zwartkopmeeuw";"Larus melanocephalus"
"Schwebegarnele f";"mysid shrimp";"pungreje";"aasgarnaal";"Mysidaceae"
"Schwebstoff, der (-[e]s; -e)";"suspended matter";"svævestof (-fet; -fer)";"zweefstof, de; zwevende deeltje, het (pl.: zwevende deeltjes)";
"Schweinswal, kleiner Tümmler m";"harbour (common) porpoise";"marsvin";"bruinvis";"Phocoena phocoena"
"Schwermetall, das (-[e]s; -e)";"heavy metal";"tungmetal (-let; -ler)";"zwaar metaal, het";
"Schwertmuschel f";"common razor shell";"sværdskedemusling; almindelig knivmusling";"kleine zwaardschede";"Ensis ensis"
"Schwielen-Löwenzahn, Rotfrüchtiger Löwenzahn m";"rock dandelion; redseeded dandelion";"rødfrugtet sandmælkebøtte";"zandpaardebloem";"Taraxacum laevigatum"
"Schwimmkrabbe f";"common swimming crab; flying crab";"svømmekrabbe";"zwemkrab";"Liocarcinus holsatus, Portunus holsatus"
"Sedimentation, die (-; -en)";"sedimentation";"bundfald (-et; -); bundfældning (-en; -er)";"sedimentatie, de (pl.: sedimentaties)";
"Seedahlie f";"dahlia anemone";"stor søanemone";"zeedahlia";"Urticina felina"
"Seegatt, das (-[e]s; -en o. –s)";"inlet";"tidevandsrende (-n; -r)";"zeegat, het";
"Seehase m";"lumpsucker";"almindelig stenbider";"snotolf";"Cyclopterus lumpus"
"Seehund m";"harbour (common) seal";"spættet sæl";"gewone zeehond";"Phoca vitulina"
"Seemaus f";"sea mouse";"guldmus";"fluwelen zeemuis";"Aphrodite aculeata"
"Seenadel, die (-, -n)";"pipe fish";"tangnål";"zeenaald";"Syngnathus spp."
"Seenelke f";"plumose anemone";"sønellike";"zeeanjelier";"Metridium senile"
"Seepocke, die (-, n)";"barnacle";"rur";"zeepok";"Balanidae"
"Seeregenpfeifer m";"Kentish plover";"hvidbrystet præstekrave";"strandplevier";"Charadrius alexandrinus"
"Seeskorpion m";"seascorpion";"almindelig ulk";"zeedonderpad";"Myoxocephalus scorpius"
"Seespinne, Nordatlantische Seespinne, „Nordische“ Seespinne f";"toad crab; great spider crab; atlantic lyre crab";"sandkrabbe";"gewone spinkrab";"Hyas araneus"
"Seestachelbeere f";"sea gooseberry";"stikkelsbærgople";"zeedruif";"Pleurobrachia pileus"
"Seestern m";"common starfish";"søstjerne";"zeester";"Asterias rubens"
"Seestichling m";"sea stickleback";"tangsnarre";"zeestekelbaars";"Spinachia spinachia"
"Seezunge f";"(common) sole";"almindelig tunge";"tong";"Solea solea"
"Segelboot, das (-[e]s; -e)";"sailing boat";"sejlbåd (-en; -e)";"zeilboot, de (pl.: zeilboten)";
"Sellerie m";"wild celery";"vild selleri";"selderij";"Apium graveolens"
"sensibel";"sensitive";"sensibel";"sensibel, gevoelig";
"Sepia m";"common cuttlefish";"sepia-blæksprutte";"inktvis; zeekat";"Sepia officinalis"
"Sichelstrandläufer m";"curlew sandpiper";"krumnæbbet ryle";"krombekstrandloper";"Calidris ferruginea"
"Silbergras n";"whitish hair-grass";"sandskæg";"buntgras n";"Corynephorus canescens"
"Silbermöwe f";"herring gull";"sølvmåge";"zilvermeeuw";"Larus argentatus"
"Silberpappel d";"white poplar";"sølv-poppel";"witte abeel";"Populus alba"
"Silbriges Fingerkraut n";"hoary cinquefoil";"sølv-potentil";"viltganzerik";"Potentilla argentea"
"Singschwan m";"whooper swan";"sangsvane";"wilde zwaan";"Cybnus cybnus"
"Sinkstoff, der (-[e]s; -e)";"settling sediment";"aflejringsstof (-fet; -fer)";"afzetting, de";
"Skorpions-Tang m";"red seaweed “Bostrychia scorpioides“";"rødalge „bostrychia scorpioides“";"schorpioenwier n";"Bostrychia scorpioides"
"Sommerdeich, der (-[e]s; -e)";"sea wall around the “Hallig”";"sommerdige (-t; -r)";"zomerdijk, de";
"Sonnenstern m";"common sun star; purple sunstar; rose star";"pigget søsol";"zonnester";"Solaster papposus"
"sozioökonomisch";"socio-economic";"socio-økonomisk";"socio-economisch";
"Spargelerbse f";"dragon’s-teeth";"kantbælg";"hauwklaver";"Tetragonolobus maritimus"
"Sparrige Binse f";"heath rush";"børste-siv";"trekrus";"Juncus squarrosus"
"Späte Segge f";"small-fruited yellowsedge";"dværg-star";"dwergzegge";"Carex scandinavica"
"Spende, die (-; -n)";"donation";"gave (-n; -r); bidrag (-et; -)";"Gift, de";
"Spießente f";"Northern pintail";"spidsand";"pijlstaart";"Anas acuta"
"Spieß-Melde f";"spear-leaved orach";"spyd-mælde";"spiesmelde";"Atriplex hastata / A. prostrata / A. triangularis"
"Spiralige Salde f";"spiral tasselweed";"langstilket havgræs";"spiraalruppia";"Ruppia cirrhosa"
"Spiraltang m";"spiral wrack";"lav klørtang";"kleine zee-eik";"Fucus spiralis"
"Spitzblütige Binse f";"sharp-flowered rush";"spidsblomstret siv";"veldrus";"Juncus acutiflorus"
"Spitze Strandschnecke f";"rough periwinkle";"levendefødende strandsnegl";"(vale) ruwe alikruik";"Littorina saxatilis"
"Spitzwegerich m";"ribwort plantain";"lancet-vejbred";"smalle weegbree";"Plantago lanceolata"
"Springflut, die (-; -en)";"spring tide";"springflod (-en; -er)";"springvloed, de";
"Spülsaum, der (-[e]s; Spülsäume)";"driftline; wrack line";"opskyldslinie (-n; -r); brøg (-et; no pl.)";"aanspoellijn, de";
"Spur, die (-; -en)";"trace";"spor (-et; -)";"spoor, het (pl.: sporen)";
"Stachelhäuter m";"Echinoderms";"Pighude";"Stekelhuidigen";"Echinodermatax"
"Stachelige Herzmuschel f";"prickly cockle";"pigget hjertemusling";"gedoornde hartschelp";"Acanthocardia echinata"
"Stachelige Herzmuschel f";"spiny cockle";"pigget hjertemusling";"gedoornde hartschelp???";"Cardium aculeatum"
"Stachelpolyp m";"rough hydroid";"pindsvinepolyp";"ruwe zeerasp";"Hydractinia echinata"
"Standvogel, der (-s; Standvögel)";"sedentary birds";"standfugl (-en; -e)";"standvogel, de (pl.: standvogels)";
"Staudamm, der (-[e]s; Staudämme); Damm, der (-[e]s; Dämme)";"dam";"dæmning (-en; -er); spærredæmning (-en;-er)";"stuwdam, de (pl.: stuwdammen); dam, de (pl.: dammen)";
"Stechginster m";"gorse";"tornblad";"gaspeldoorn";"Ulex europaeus"
"Steifer Augentrost m";"drug eyebright";"spids øjentrøst";"stijve ogentroost n";"Euphrasia stricta"
"Steinbutt m";"turbot";"pighvarre";"tarbot";"Psetta maxima"
"Steinpicker m";"hooknose";"panserulk";"harnasmannetje n";"Agonus cataphractus"
"Steinschmätzer m";"northern wheatear";"almindelig stenpikker";"tapuit";"Oenanthe oenanthe"
"Steinwälzer m";"ruddy turnstone";"stenvender";"steenloper";"Arenaria interpres"
"Sterntaucher m";"red-throated diver; red-throated loon";"rødstrubet lom";"roodkeelduiker";"Gavia stellata"
"Stickstoff, der (-[e]s; -e)";"nitrogen";"kvælstof (-fet; -)";"stikstof, de";
"Stielfrüchtige Keilmelde f";"pedunculate sea-purslane";"stilkel kilebæger";"gesteelde zoutmelde";"Halimione pedunculata"
"Stint m";"smelt";"smelt";"spiering";"Osmerus eperlanus"
"Stockente f";"mallard";"gråand";"wilde eend";"Anas platyrhynchos"
"Stör m";"(common) sturgeon";"stør";"steur";"Acipenser sturio"
"stören (v.)";"disturb (v.)";"forstyrre (v.)";"storen, verstoren (ww.)";
"Störung, die (-; -en); Beeinträchtigung, die (-; -en)";"disturbance";"forstyrrelse (-n; -r); påvirkning (-en; -er)";"verstoring, de";
"Strahlenkörbchen n";"rayed trough shell";"almindelig trugmusling";"grote strandschelp";"Mactra corallina"
"Strand, der (-[e]s; Strände)";"beach";"strand (-en; -e)";"strand, het";
"Strand-Aster m";"sea aster";"strand-aster";"zulte";"Aster tripolium"
"Strand-Beifuß m";"sea wormwood";"strand-malurt";"strandbijvoet";"Artemisia maritima"
"Strand-Binse f";"sea rush";"strandsiv";"zeerus";"Juncus maritimus"
"Stranddistel f";"sea holly";"strand-mandstro";"blauwe zeedistel";"Eryngium maritimum"
"Strand-Dreizack m";"hare’s-foot clover";"strand-trehage";"schorrenzoutgras n";"Triglochin maritimum"
"stranden (v.)";"run ashore (v.)";"strande (v.)";"stranden (ww.)";
"Strandflohkrebs m";"sandhopper “Talitrus saltator“";"sandhopper";"strandvlo";"Talitrus saltator"
"Strand-Gerste f";"sea barley";"strand-byg";"zeegerst";"Hordeum marinum"
"Strandgrundel f";"common goby";"lerkutling";"brakwatergrondel";"Pomatoschistus microps"
"Strandgut, das (-[e]s; -); Treibgut, das (-[e]s; -)";"flotsam (and jetsam)";"strandingsgods (-et; -); vraggods (-et; -)";"aanspoelsel, het; strandgoed, het";
"Strandhafer m";"marram grass; European beachgrass";"sand-hjælme";"helm";"Ammophila arenaria"
"Strand-Kamille f";"sea mayweed";"strand-kamille";"reukloze kamille";"Tripleurospermum maritimum"
"Strand-Knöterich m";"ray’s knotgrass";"sand-pileurt";"zandduizenknoop";"Polygonum oxyspermum"
"Strandkorb, der (-[e]s; Strandkörbe)";"beach chair (here: roofed wicker beach chair)";"strandkurv (-en; -e)";"strandstoel, de";
"Strandkrabbe f";"common shore crab";"almindelig strandkrabbe";"strandkrab";"Carcinus maenas"
"Strandling m";"shoreweed";"strandbo";"oeverkruid n";"Plantago uniflora"
"Strand-Mastkraut n";"sea pearlwort";"strand-firling";"zeevetmuur";"Sagina maritima"
"Strandmelde f";"shore orache";"strand-mælde";"strandmelde";"Atriplex littoralis"
"Strand-Platterbse f";"sea pea";"strandært";"zeelathyrus";"Lathyrus japonicus ssp. maritimus"
"Strand-Quecke f";"sea couch";"stiv-kvik";"strandkweek";"Elymus pycnanthus"
"Strandräuber, der (-s; -)";"beach combers";"strandrøver (-en; -e)";"strandjutter, de (pl.: strandjutters)";
"Strandroggen m";"sea lyme grass; sand love grass";"sand-marehalm";"zandhaver";"Elymus arenarius"
"Strandroggen m";"lyme grass";"marehalm";"zandhaver";"Leymus arenarius"
"Strand-Rübe f";"sea beet";"strand-bede";"strandbiet";"Beta vulgaris maritima"
"Strandseeigel, Kleiner Seeigel m";"green sea urchin";"tangborre";"gewone zeeappel";"Psammechinus miliaris"
"Strand-Segge f";"long-bracted sedge";"udspilet star";"kwelderzegge";"Carex extensa"
"Strandsimse, Meerstrandsimse f";"maritime (sea) club-rush";"strandkogleaks";"heen";"Bolboschoenus maritimus"
"Strand-Sode f";"sea-blite";"strandgåsefod";"schorrenkruid n";"Sueda maritima"
"Strand-Tausendgüldenkraut";"seaside centaury";"strand-tusindgylden";"strandduizendguldenkruid n";"Centaurium littorale"
"Strand-Wegerich m";"sea plantain";"strand-vejbred";"zeeweegbree n";"Plantago maritima"
"Strand-Winde f";"sea bindweed";"strand-snerle";"zeewinde";"Calystegia soldanella"
"Strauß-Gilbweiderich m";"tufted loosestrife";"dusk-fredløs";"moeraswederik";"Lysimachia thyrsiflora"
"Strömung, die (-; -en)";"current";"strøm (-men; -me)";"stroming, de";
"Stumpfe Strandschnecke f";"flat periwinkle";"butspiret strandsnegl";"stompe alikruik";"Littorina obtusata"
"Sturmflut, die (-; -en)";"storm surge";"stormflod (-en; -er)";"stormvloed, de";
"Sturmmöwe f";"common gull";"stormmåge";"stormmeeuw";"Larus canus"
"suchen (hier. nach Futter suchen) (v.)";"forage (v.)";"lede efter omkring (her: efter næring) (v.)";"fourageren (ww.)";
"Südliche Seepocke f";"perforated barnacle; balane rock barnacle";"vulkan-formet rur";"vulkaantje n";"Balanus perforatus"
"Sumpf-Bärlapp m";"marsh clubmoss";"liden ulvefod";"moeraswolfsklauw";"Lycopodiella inundata"
"Sumpf-Blutauge n";"marsh cinquefoil";"kragefod";"wateraardbei";"Potentilla palustris"
"Sumpf-Dreizack m";"marsh arrowgrass";"kær-trehage";"moeraszoutgras n";"Triglochin palustre"
"Sumpf-Enzian m";"dune gentian";"eng-ensian";"slanke gentiaan";"Gentianella uliginosa"
"Sumpf-Glanzkraut n";"fen orchid";"mygblomst";"groenknolorchis";"Liparis loeselii"
"Sumpf-Herzblatt n";"grass-of-parnassus";"almindelig leverurt";"parnassia";"Parnassia palustris"
"Sumpf-Johanniskraut n";"marsh St. John’s wort";"perikon „hypericum elodes“";"moerashertshooi n";"Hypericum elodes"
"Sumpf-Knabenkraut n";"orchid „Orchis laxiflora palustris“";"mosegøgeurt";"orchidee „orchis laxiflora palustris“";"Orchis laxiflora palustris"
"Sumpf-Labkraut n";"common marshbedstraw";"kær-snerre";"moeraswalstro n";"Galium palustre"
"Sumpfohreule f";"short-eared owl";"mosehornugle";"velduil";"Asio flammeus"
"Sumpf-Rispengras n";"swamp meadow-grass";"stortoppet rapgræs";"moerasbeemdgras n";"Poa palustris"
"Sumpf-Veilchen n";"marsh violet";"eng-viol";"moerasviooltje n";"Viola palustris"
"Sumpf-Weichwurz m";"bog orchid";"femkantet hjertelæbe";"veenmosorchis";"Hammarbya paludosa"
"Süßwasser, das (-s; -)";"freshwater";"ferskvand (-et; -)";"zoet water, het (pl.: zoet waters of zoet wateren)";
"Tangflohkrebs m";"sandhopper “Gammarus locusta“";"tangloppe";"vlokreeftje n";"Gammarus locusta"
"Tangrose f";"rosy anemone; sea anemone “Sagartia elegans“";"søanemone “Sagartia elegans“";"sierlijke slibanemoon";"Sagartia elegans"
"Taschenkrebs m";"great (large edible rock) crab";"taskekrabbe";"noordzeekrab; gewone zeekrab";"Cancer pagurus"
"Tausendgüldenkraut, Gewöhnliches f";"common centaury";"mark-tusindgylden";"echt duizendguldenkruid n";"Centaurium erythraea"
"Teichfaden m";"horned pondweed";"stor vandkrans";"brede zanichellia";"Zannichellia palustris"
"Teilnehmer, der (-s; -), Teilnehmerin, die (-; -nen)";"participant";"deltager (-en; -e)";"deelnemer, de (pl.: deelnemers)";
"Teufelsabbiß m";"devil’s-bit scabious";"djævelsbid";"blauwe knoop";"Succisa pratensis"
"Tide-Simse f";"Schoenoplectus X carinatus";"schoenoplectus x carinatus";"bastaardbies";"Schoenoplectus X carinatus"
"Tier, das (-[e]s; -e)";"animal";"dyr (-et; -)";"dier, het";
"Tintenfisch, der (-[e]s; -e)";"squid";"blæksprutte (-en; -er)";"inktvis, de (pl.: inktvissen)";"Cephalopoda"
"Ton, der (-[e]s; no pl.) (nur bei Sorten, pl.: –e)";"clay";"ler (-et; -)";"klei, de; lutum, het";
"Tordalk m";"razorbill";"almindelig alk";"alk";"Alca torda"
"Torf, der (-[e]s; no pl.) (nur bei Arten, pl.: –e)";"peat";"tørv (-en; -)";"turf, de (pl.: turven); veen, het (pl.: venen)";
"Tote Mannshand f";"dead-man´s fingers";"dødningehånd";"dodemansduim";"Alcyonium digitatum"
